SensorName	Paper Name	Relevance	Authors	University / Lab	Publication Year	Publication Venue	Link	Cited	Bibtex	Technology	Sensor Type Introduced	Comercial?	Geometry	No. Sensors	Rubber (if applicable)	Chip	Additional Notes	22
	A MEMS slip sensor: Estimations of triaxial force and coefficient of static friction for prediction of a slip	4	Taiyu Okatani; Akihito Nakai; Tomoyuki Takahata; Isao Shimoyama		2017		https://ieeexplore.ieee.org/abstract/document/7993991	FALSE		Misc	Misc	FALSE					pure mems system	
Takktile derivative	Robust and Inexpensive Six-Axis Force–Torque Sensors Using MEMS Barometers	6	Jacob W. Guggenheim; Leif P. Jentoft; Yaroslav Tenzer; Robert D. Howe	Howe	2017	IEEE/ASME Transactions on Mechatronics	https://ieeexplore.ieee.org/abstract/document/7835675	FALSE	@article{guggenheim2017robust,   title={Robust and inexpensive six-axis force--torque sensors using MEMS barometers},   author={Guggenheim, Jacob W and Jentoft, Leif P and Tenzer, Yaroslav and Howe, Robert D},   journal={IEEE/ASME Transactions on Mechatronics},   volume={22},   number={2},   pages={838--844},   year={2017},   publisher={IEEE} }	Barometric	Barometric	FALSE					making a FT sensor from barometers, no mention of hysteresis	1
Gelsight	GelSight: High-Resolution Robot Tactile Sensors for Estimating Geometry and Force	6	Wenzhen Yuan, Siyuan Dong and Edward H. Adelson	Adelson	2017	Sensors	https://www.mdpi.com/1424-8220/17/12/2762	FALSE	@article{yuan2017gelsight,   title={Gelsight: High-resolution robot tactile sensors for estimating geometry and force},   author={Yuan, Wenzhen and Dong, Siyuan and Adelson, Edward H},   journal={Sensors},   volume={17},   number={12},   pages={2762},   year={2017},   publisher={MDPI} }	Visual	Visual	FALSE					First visual	1
	Single-Grasp Object Classification and Feature Extraction with Simple Robot Hands and Tactile Sensors	5	Adam J. Spiers; Minas V. Liarokapis; Berk Calli; Aaron M. Dollar		2016	Dollar and Ad	https://ieeexplore.ieee.org/document/7390277	FALSE	@article{spiers2016single,   title={Single-grasp object classification and feature extraction with simple robot hands and tactile sensors},   author={Spiers, Adam J and Liarokapis, Minas V and Calli, Berk and Dollar, Aaron M},   journal={IEEE transactions on haptics},   volume={9},   number={2},   pages={207--220},   year={2016},   publisher={IEEE} }	Barometric	Barometric	FALSE					Old Ad paper, 1d array	1
Uses Biotak	Force estimation and slip detection/classification for grip control using a biomimetic tactile sensor		Zhe Su; Karol Hausman; Yevgen Chebotar; Artem Molchanov; Gerald E. Loeb; Gaurav S. Sukhatme		2015		https://ieeexplore.ieee.org/abstract/document/7363558	FALSE		Electrical(?)	No New Sensor	FALSE						
Uses TakkTile	Angled sensor configuration capable of measuring tri-axial forces for pHRI	4	Christian Reeks; Marc G. Carmichael; Dikai Liu; Kenneth J. Waldron		2016	ICRA	https://ieeexplore.ieee.org/abstract/document/7487475	FALSE	@inproceedings{reeks2016angled,   title={Angled sensor configuration capable of measuring tri-axial forces for pHRI},   author={Reeks, Christian and Carmichael, Marc G and Liu, Dikai and Waldron, Kenneth J},   booktitle={2016 IEEE International Conference on Robotics and Automation (ICRA)},   pages={3089--3094},   year={2016},   organization={IEEE} }	Barometric	Barometric	FALSE					Configuration of TakkTile	
	Improved normal and shear tactile force sensor performance via Least Squares Artificial Neural Network (LSANN)	6	Meng Yee Chuah; Sangbae Kim	Sangbae	2016	ICRA	https://ieeexplore.ieee.org/document/7487123	FALSE	@inproceedings{chuah2016improved,   title={Improved normal and shear tactile force sensor performance via least squares artificial neural network (lsann)},   author={Chuah, Meng Yee and Kim, Sangbae},   booktitle={2016 IEEE International Conference on Robotics and Automation (ICRA)},   pages={116--122},   year={2016},   organization={IEEE} }	Barometric	Barometric	FALSE					New network for sensor evaluation	
	Compensation for tactile hysteresis using Gaussian process with sensory Markov property	3	Takato Horii; Yukie Nagai; Lorenzo Natale; Francesco Giovannini; Giorgio Metta; Minoru Asada		2014	IEEE-RAS International Conference on Humanoid Robots	https://ieeexplore.ieee.org/document/7041484	FALSE		Misc	Misc	FALSE						
	The Feel of MEMS Barometers: Inexpensive and Easily Customized Tactile Array Sensors	8	Yaroslav Tenzer; Leif P. Jentoft; Robert D. Howe		2014		https://ieeexplore.ieee.org/document/6877681/	TRUE	@article{tenzer2014feel,   title={The feel of MEMS barometers: Inexpensive and easily customized tactile array sensors},   author={Tenzer, Yaroslav and Jentoft, Leif P and Howe, Robert D},   journal={IEEE Robotics \& Automation Magazine},   volume={21},   number={3},   pages={89--95},   year={2014},   publisher={IEEE} }	Barometric	Barometric	FALSE	Many				Introduction to using mems barometers	1
	Enabling Force Sensing During Ground Locomotion: A Bio-Inspired, Multi-Axis, Composite Force Sensor Using Discrete Pressure Mapping	8	Meng Yee Chuah; Sangbae Kim	Sangbae Kim	2014		https://ieeexplore.ieee.org/document/6714415	TRUE	 @article{chuah2014enabling,   title={Enabling force sensing during ground locomotion: A bio-inspired, multi-axis, composite force sensor using discrete pressure mapping},   author={Chuah, Meng Yee and Kim, Sangbae},   journal={IEEE Sensors Journal},   volume={14},   number={5},   pages={1693--1703},   year={2014},   publisher={IEEE} }	Barometric	Barometric	FALSE			Vytaflex 10			1
	Flexible, stretchable tactile arrays from MEMS barometers	6	Leif P. Jentoft; Yaroslav Tenzer; Daniel Vogt; Jia Liu; Robert J. Wood; Robert D. Howe	Howe	2013	ICAR	https://ieeexplore.ieee.org/abstract/document/6766525	TRUE	@inproceedings{jentoft2013flexible,   title={Flexible, stretchable tactile arrays from MEMS barometers},   author={Jentoft, Leif P and Tenzer, Yaroslav and Vogt, Daniel and Liu, Jia and Wood, Robert J and Howe, Robert D},   booktitle={2013 16th International Conference on Advanced Robotics (ICAR)},   pages={1--6},   year={2013},   organization={IEEE} }	Barometric	Barometric	FALSE					making flexible array of barometers	1
	Tactile sensing for dexterous in-hand manipulation in robotics—A review	6	Hanna Yousef a , Mehdi Boukallel a , Kaspar Althoefer b		2011		https://www.sciencedirect.com/science/article/pii/S0924424711001105	FALSE	@article{yousef2011tactile,   title={Tactile sensing for dexterous in-hand manipulation in robotics—A review},   author={Yousef, Hanna and Boukallel, Mehdi and Althoefer, Kaspar},   journal={Sensors and Actuators A: physical},   volume={167},   number={2},   pages={171--187},   year={2011},   publisher={Elsevier} }	Multiple	No New Sensor	FALSE					Review	
	Tactile Sensing—From Humans to Humanoids	6	Ravinder S. Dahiya, Member, IEEE, Giorgio Metta, Maurizio Valle, Member, IEEE, and Giulio Sandini		2009	T-RO	https://ieeexplore.ieee.org/abstract/document/5339133	FALSE	@article{dahiya2009tactile,   title={Tactile sensing—from humans to humanoids},   author={Dahiya, Ravinder S and Metta, Giorgio and Valle, Maurizio and Sandini, Giulio},   journal={IEEE transactions on robotics},   volume={26},   number={1},   pages={1--20},   year={2009},   publisher={IEEE} }	Multiple	No New Sensor	FALSE					major review paper	
	An integrated MEMS three-dimensional tactile sensor with large force range	6	Tao Mei, Wen J. Li, Yu Ge, Yong Chen, Lin Ni, Ming Ho Chan		2000	Sensors and Actuators A: Physical	https://www.sciencedirect.com/science/article/pii/S0924424799002617?casa_token=5ivN_WPAV7UAAAAA:5PDsVgbwsjAWfksR3Jb0GoHFJWDecmQPe7qeEx-ATUzjCw2wG7SMHsROLyZ8gImDWSpE5eRP	FALSE		Magic	Magic	FALSE					Custom mems system with piezoresistors	
	Tactile sensing and control of robotic manipulation	6	Robert D. Howe		1993	Advanced Robotics	https://www.tandfonline.com/doi/abs/10.1163/156855394X00356?casa_token=CiLFPpsHu8wAAAAA:1N3QfXTJpr2HP1tDsYlh2IXcgW-ay-d08FznQy8EAUwlozJW7BZrOjyUbY0fi217PAcMIlXfGic	FALSE	@article{howe1993tactile,   title={Tactile sensing and control of robotic manipulation},   author={Howe, Robert D},   journal={Advanced Robotics},   volume={8},   number={3},   pages={245--261},   year={1993},   publisher={Taylor \& Francis} }	Multiple	No New Sensor	FALSE					Note: Shear force may not be needed if you have slip detection.  You can also back out contact location from jacobian	
	Implementation of behavioral control on a robot hand/arm system	6	David L. Brock & J. Kenneth Salisbury 		1993	Experimental Robotics II.	https://link.springer.com/chapter/10.1007/BFb0036135	FALSE	@inproceedings{brock2005implementation,   title={Implementation of behavioral control on a robot hand/arm system},   author={Brock, David L and Kenneth Salisbury, J},   booktitle={Experimental Robotics II: The 2nd International Symposium, Toulouse, France, June 25--27 1991},   pages={113--135},   year={2005},   organization={Springer} }	Misc	Misc	FALSE					Reflexive grasping (old paper)	
	A Survey of Robot Tactile Sensing Technology	10	Howard R. Nicholls and Mark H. Lee		1989	The International Journal of Robotics Research	https://journals.sagepub.com/doi/pdf/10.1177/027836498900800301	TRUE	@article{nicholls1989survey,   title={A survey of robot tactile sensing technology},   author={Nicholls, Howard R and Lee, Mark H},   journal={The International Journal of Robotics Research},   volume={8},   number={3},   pages={3--30},   year={1989},   publisher={Sage Publications Sage CA: Thousand Oaks, CA} }	Multiple	No New Sensor	FALSE					Blast from the past omg, seems like the hardware issues r similar but the data processing is a lot better now.  e.g. we can use normal neural networks.	
	Automated Tactile Sensing	8	Leon D. Harmon		1982	The International Journal of Robotics Research	https://journals.sagepub.com/doi/abs/10.1177/027836498200100201	FALSE	@article{harmon1982automated, author = {Leon D. Harmon}, title ={Automated Tactile Sensing},  journal = {The International Journal of Robotics Research}, volume = {1}, number = {2}, pages = {3-32}, year = {1982}, doi = {10.1177/027836498200100201},  URL = {          https://doi.org/10.1177/027836498200100201 }, eprint = {          https://doi.org/10.1177/027836498200100201 } }	Multiple	No New Sensor	FALSE						
Biotac	Haptic feature extraction from a biomimetic tactile sensor: Force contact location and curvature"	4	Nicholas Wettels; Gerald E. Loeb		2011	Haptic feature extraction from a biomimetic tactile sensor: Force, contact location and curvature 	https://ieeexplore.ieee.org/abstract/document/6181676	FALSE	@inproceedings{wettels2011haptic,   title={Haptic feature extraction from a biomimetic tactile sensor: force, contact location and curvature},   author={Wettels, Nicholas and Loeb, Gerald E},   booktitle={2011 IEEE international conference on robotics and biomimetics},   pages={2471--2478},   year={2011},   organization={IEEE} }	Misc	Misc	FALSE						
TakkTile	Inexpensive and Easily Customized Tactile Array Sensors using MEMS Barometers Chips	6	Yaroslav Tenzer, Leif P. Jentoft, Robert D. Howe	Howe	2012	IEEE Robotics & Automation Magazine	https://projects.iq.harvard.edu/files/sorotoolkit/files/2012_ytenzer_barometricsensors.pdf	FALSE	@article{tenzer2012inexpensive,   title={Inexpensive and easily customized tactile array sensors using MEMS barometers chips},   author={Tenzer, Yaroslav and Jentoft, Leif P and Howe, Robert D},   journal={IEEE R\&A Magazine},   volume={21},   number={c},   pages={2013},   year={2012} }	Barometric	Barometric	TRUE			Vytaflex 20	MPL115A2 	This is probably the first recognizable work that is similar to what we do.  Also mentions how bond wires can break when chips are decapped 	1
	A versatile tactile sensor system for covering large and curved surface areas	4	Michael Zillich; Wendelin Feiten		2012	IROS	https://ieeexplore.ieee.org/abstract/document/6385806	TRUE	@inproceedings{zillich2012versatile,   title={A versatile tactile sensor system for covering large and curved surface areas},   author={Zillich, Michael and Feiten, Wendelin},   booktitle={2012 IEEE/RSJ International Conference on Intelligent Robots and Systems},   pages={20--24},   year={2012},   organization={IEEE} }	Barometric	Barometric	FALSE				BMP 085	A little different than standard, they use a foam inside a rubber that uses air as to trigger the barometer.	1
	Composite force sensing foot utilizing volumetric displacement of a hyperelastic polymer	2	Meng Yee Chuah; Matthew Estrada; Sangbae Kim	Sangbae	2012	IROS	https://ieeexplore.ieee.org/abstract/document/6386239	FALSE	@inproceedings{chuah2012composite,   title={Composite force sensing foot utilizing volumetric displacement of a hyperelastic polymer},   author={Chuah, Meng Yee and Estrada, Matthew and Kim, Sangbae},   booktitle={2012 IEEE/RSJ International Conference on Intelligent Robots and Systems},   pages={1963--1969},   year={2012},   organization={IEEE} }	Magnetic	Magnetic	FALSE					Probably first sangbae sensor paper	
Sanctuary AI Sensor	Sanctuary AI New Tactile Sensors Enable Richer Sense of Touch	1			2024	Blog	https://www.sanctuary.ai/blog/sanctuary-ai-new-tactile-sensors-enable-richer-sense-of-touch	FALSE		Magic	Magic	TRUE					Unknown tech, looks very sensitive	
DenseTact	DenseTact: Optical Tactile Sensor for Dense Shape Reconstruction	4	Won Kyung Do, Monroe Kennedy III	Monroe	2022	ICRA	https://arxiv.org/pdf/2201.01367	FALSE	@inproceedings{do2022densetact,   title={Densetact: Optical tactile sensor for dense shape reconstruction},   author={Do, Won Kyung and Kennedy, Monroe},   booktitle={2022 International Conference on Robotics and Automation (ICRA)},   pages={6188--6194},   year={2022},   organization={IEEE} }	Visual	Visual	FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
								FALSE				FALSE						
